timestamp,type,RPM,VSS,Gear,STR,TPS,CLT1,CLT2,OilTemp,MAP,MAT,FuelPres,OilPres,AFR,BatV,AccelZ,AccelX,AccelY,FR_Shock,FL_Shock,RR_Shock,RL_Shock,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed,GPS_Sats
2025-11-08T13:50:32.863918,TELEMETRY,3144.0,0.0,0.0,-23.3,14.1,175.1,151.7,384.7,78.0,85.8,43.3,23.6,12.1,13.2,1.347168,0.031738,0.041992,32.45245,28.42071,28.73084,28.54476,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.875726,TELEMETRY,3159.0,0.0,0.0,-23.7,14.1,175.1,151.7,384.3,77.9,85.8,42.1,23.3,12.1,13.2,0.757324,-0.034668,0.075195,32.39043,28.38349,28.83009,28.59438,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:32.995551,TELEMETRY,3153.0,0.0,0.0,-23.3,14.1,175.1,151.7,384.3,77.9,85.8,42.1,23.3,12.1,13.2,1.05127,-0.106445,0.057617,32.45245,28.32146,28.81768,28.56957,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:33.059444,TELEMETRY,3153.0,0.0,0.0,-23.7,14.1,175.1,151.7,384.3,77.8,85.8,42.1,23.6,12.1,13.2,1.20166,-0.021973,0.101074,32.34081,28.34628,28.65641,28.97895,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:33.069626,TELEMETRY,3156.0,0.0,0.0,-23.7,14.1,175.1,151.7,384.3,77.8,85.8,42.0,23.4,12.1,13.2,0.626953,0.056152,-0.003906,32.35321,28.49514,28.8673,28.58198,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:33.100319,TELEMETRY,3156.0,0.0,0.0,-23.3,14.1,175.4,151.7,384.3,77.9,85.8,41.8,23.1,12.2,13.2,0.81543,0.016602,0.070801,32.39043,28.37109,28.75565,28.55717,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:33.101717,TELEMETRY,3187.0,0.0,0.0,-23.3,14.1,175.5,151.7,384.7,77.9,85.8,42.2,23.4,12.2,13.2,0.662598,-0.110352,-0.012207,32.34081,28.42071,28.68122,28.61919,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:33.495755,TELEMETRY,3187.0,0.0,0.0,-23.3,14.1,175.6,151.9,384.4,77.9,85.8,41.1,23.1,12.2,13.2,0.870605,-0.094238,0.041992,32.27878,28.38349,28.8549,28.56957,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:33.504387,TELEMETRY,3187.0,0.0,0.0,-23.3,14.1,175.6,151.7,384.6,77.8,85.8,41.3,23.2,12.2,13.2,1.077148,-0.005859,0.002441,32.31599,28.44552,28.79287,28.44552,0.0,0.0,nan,nan,0.0
2025-11-08T13:50:33.545919,TELEMETRY,3187.0,0.0,0.0,-23.3,14.1,175.6,151.7,384.5,77.8,85.8,43.2,23.6,12.2,13.2,0.883789,-0.068848,0.077637,32.35321,28.50755,28.91692,28.54476,0.0,0.0,nan,nan,0.0
