timestamp,source,GPS_Lat,GPS_Lon,GPS_Heading,GPS_Speed,GPS_Sats
1762640513253.567,GPS,33.008,-84.189,317.89,0.31,7
1762640514143.237,GPS,33.008,-84.189,317.89,0.06,7
1762640514253.917,GPS,33.008,-84.189,317.89,0.06,9
1762640515141.977,GPS,33.008,-84.189,317.89,0.06,9
1762640515256.396,GPS,33.008,-84.189,317.89,0.06,9
1.76264E+12,GPS,33.008,-84.189,317.89,0.07,9
1762640516255.578,GPS,33.008,-84.189,317.89,0.07,9
1762640517133.056,GPS,33.008,-84.189,317.89,0.06,9
1762640517247.999,GPS,33.008,-84.189,317.89,0.06,8
1762640518136.867,GPS,33.008,-84.189,317.89,0.03,8
1762640518253.274,GPS,33.008,-84.189,317.89,0.03,8
1762640519141.875,GPS,33.008,-84.189,317.89,0.09,8
1762640519260.057,GPS,33.008,-84.189,317.89,0.09,8
1762640520142.478,GPS,33.008,-84.189,317.89,0.04,8
1762640520252.839,GPS,33.008,-84.189,317.89,0.04,8
1762640521135.736,GPS,33.008,-84.189,317.89,0.12,8
1762640521262.234,GPS,33.008,-84.189,317.89,0.12,8
1762640522148.274,GPS,33.008,-84.189,317.89,0.08,8
1762640522253.198,GPS,33.008,-84.189,317.89,0.08,8
1762640523144.598,GPS,33.008,-84.189,317.89,0.19,8
1762640523260.113,GPS,33.008,-84.189,317.89,0.19,9
1762640524137.668,GPS,33.008,-84.189,317.89,0.13,9
1762640524264.859,GPS,33.008,-84.189,317.89,0.13,8
1762640525137.533,GPS,33.008,-84.189,317.89,0.22,8
1.76264E+12,GPS,33.008,-84.189,317.89,0.22,8
1762640526137.725,GPS,33.008,-84.189,317.89,0.16,8
1762640526254.312,GPS,33.008,-84.189,317.89,0.16,9
1762640527140.527,GPS,33.008,-84.189,317.89,0.11,9
1762640527255.062,GPS,33.008,-84.189,317.89,0.11,9
1762640528137.446,GPS,33.008,-84.189,317.89,0.06,9
1762640528254.175,GPS,33.008,-84.189,317.89,0.06,9
1762640529138.038,GPS,33.008,-84.189,317.89,0.14,9
1762640529261.315,GPS,33.008,-84.189,317.89,0.14,9
1762640530137.182,GPS,33.008,-84.189,317.89,0.15,9
1762640530259.482,GPS,33.008,-84.189,317.89,0.15,9
1.76264E+12,GPS,33.008,-84.189,317.89,0.09,9
1762640531253.264,GPS,33.008,-84.189,317.89,0.09,9
1762640532137.452,GPS,33.008,-84.189,317.89,0.17,9
1762640532251.753,GPS,33.008,-84.189,317.89,0.17,8
1762640533138.096,GPS,33.008,-84.189,317.89,0.26,8
1762640533257.503,GPS,33.008,-84.189,317.89,0.26,7
1.76264E+12,GPS,33.008,-84.189,317.89,0.15,7
1.76264E+12,GPS,33.008,-84.189,317.89,0.15,6
1762640535137.111,GPS,33.008,-84.189,317.89,0.07,6
1762640535254.946,GPS,33.008,-84.189,317.89,0.07,6
1762640536139.089,GPS,33.008,-84.189,317.89,0.05,6
1762640536254.613,GPS,33.008,-84.189,317.89,0.05,9
1762640537133.997,GPS,33.008,-84.189,317.89,0.32,9
1762640537249.143,GPS,33.008,-84.189,317.89,0.32,8
1762640538134.399,GPS,33.008,-84.189,317.89,0.12,8
1.76264E+12,GPS,33.008,-84.189,317.89,0.12,6
1762640539146.943,GPS,33.008,-84.189,317.89,0.17,6
1762640539263.748,GPS,33.008,-84.189,317.89,0.17,7
1762640540142.978,GPS,33.008,-84.189,317.89,0.63,7
1.76264E+12,GPS,33.008,-84.189,317.89,0.63,6
1762640541138.453,GPS,33.008,-84.189,317.89,0.3,6
1762640541255.735,GPS,33.008,-84.189,317.89,0.3,6
1762640542139.815,GPS,33.008,-84.189,317.89,0.33,6
1762640542267.427,GPS,33.008,-84.189,317.89,0.33,7
1.76264E+12,GPS,33.008,-84.189,317.89,0.13,7
1762640543253.481,GPS,33.008,-84.189,317.89,0.13,7
1762640544137.276,GPS,33.008,-84.189,317.89,0.2,7
1762640544250.655,GPS,33.008,-84.189,317.89,0.2,7
1762640545135.382,GPS,33.008,-84.189,317.89,0.06,7
1762640545256.038,GPS,33.008,-84.189,317.89,0.06,7
1762640546150.638,GPS,33.008,-84.189,317.89,0.26,7
1762640546252.051,GPS,33.008,-84.189,317.89,0.26,8
1762640547139.645,GPS,33.008,-84.189,317.89,0.23,8
1.76264E+12,GPS,33.008,-84.189,317.89,0.23,8
1762640548140.314,GPS,33.008,-84.189,317.89,0.21,8
1762640548257.039,GPS,33.008,-84.189,317.89,0.21,7
1762640549136.191,GPS,33.008,-84.189,317.89,0.17,7
1762640549252.857,GPS,33.008,-84.189,317.89,0.17,7
1762640550131.153,GPS,33.008,-84.189,317.89,0.32,7
1762640550246.821,GPS,33.008,-84.189,317.89,0.32,7
1762640551140.674,GPS,33.008,-84.189,317.89,0.3,7
1762640551255.573,GPS,33.008,-84.189,317.89,0.3,7
1762640552138.366,GPS,33.008,-84.189,317.89,0.43,7
1762640552259.726,GPS,33.008,-84.189,317.89,0.43,7
1762640553131.106,GPS,33.008,-84.189,317.89,0.22,7
1762640553247.575,GPS,33.008,-84.189,317.89,0.22,6
1762640554144.385,GPS,33.008,-84.189,317.89,0.1,6
1762640554249.199,GPS,33.008,-84.189,317.89,0.1,6
1762640555139.319,GPS,33.008,-84.189,317.89,0.16,6
1762640555262.072,GPS,33.008,-84.189,317.89,0.16,6
1762640556134.729,GPS,33.008,-84.189,317.89,0.28,6
1762640556247.615,GPS,33.008,-84.189,317.89,0.28,7
1762640557143.204,GPS,33.008,-84.189,317.89,0.25,7
1762640557262.969,GPS,33.008,-84.189,317.89,0.25,7
1762640558134.856,GPS,33.008,-84.189,317.89,0.47,7
1762640558250.371,GPS,33.008,-84.189,317.89,0.47,7
1762640559138.801,GPS,33.008,-84.189,317.89,0.27,7
1762640559253.588,GPS,33.008,-84.189,317.89,0.27,8
1762640560130.029,GPS,33.008,-84.189,317.89,0.22,8
1.76264E+12,GPS,33.008,-84.189,317.89,0.22,6
1762640561134.043,GPS,33.008,-84.189,317.89,0.19,6
1762640561356.417,GPS,33.008,-84.189,317.89,0.19,6
1762640562136.201,GPS,33.008,-84.189,317.89,0.06,6
1762640562249.126,GPS,33.008,-84.189,317.89,0.06,5
1762640563138.758,GPS,33.008,-84.189,317.89,0.04,5
1762640563243.947,GPS,33.008,-84.189,317.89,0.04,4
1762640564133.647,GPS,33.008,-84.189,317.89,0.07,4
1762640564257.505,GPS,33.008,-84.189,317.89,0.07,5
1762640565151.744,GPS,33.008,-84.189,317.89,0.14,5
1762640565246.918,GPS,33.008,-84.189,317.89,0.14,5
1.76264E+12,GPS,33.008,-84.189,317.89,0.07,5
1.76264E+12,GPS,33.008,-84.189,317.89,0.07,4
1762640567126.801,GPS,33.008,-84.189,317.89,0.28,4
1762640567245.599,GPS,33.008,-84.189,317.89,0.28,4
1762640568147.127,GPS,33.008,-84.189,317.89,0.28,4
1762640568240.532,GPS,33.008,-84.189,317.89,0.28,4
1762640569134.374,GPS,33.008,-84.189,317.89,0.21,4
1762640569245.123,GPS,33.008,-84.189,317.89,0.21,5
1762640570129.888,GPS,33.008,-84.189,317.89,0.08,5
1.76264E+12,GPS,33.008,-84.189,317.89,0.08,5
1762640571139.115,GPS,33.008,-84.189,317.89,0.19,5
1762640571244.128,GPS,33.008,-84.189,317.89,0.19,5
1762640572135.157,GPS,33.008,-84.189,317.89,0.11,5
1762640572248.535,GPS,33.008,-84.189,317.89,0.11,5
1762640573130.437,GPS,33.008,-84.189,317.89,0.15,5
1762640573250.175,GPS,33.008,-84.189,317.89,0.15,5
1762640574133.811,GPS,33.008,-84.189,317.89,0.81,5
1762640574246.135,GPS,33.008,-84.189,317.89,0.81,6
1762640575134.657,GPS,33.008,-84.189,317.89,0.1,6
1762640575246.092,GPS,33.008,-84.189,317.89,0.1,6
1.76264E+12,GPS,33.008,-84.189,317.89,0.14,6
1762640576252.297,GPS,33.008,-84.189,317.89,0.14,6
1762640577130.504,GPS,33.008,-84.189,317.89,0.09,6
1762640577247.524,GPS,33.008,-84.189,317.89,0.09,6
1762640578129.908,GPS,33.008,-84.189,317.89,0.2,6
1762640578258.325,GPS,33.008,-84.189,317.89,0.2,6
1762640579129.302,GPS,33.008,-84.189,317.89,0.08,6
1762640579249.581,GPS,33.008,-84.189,317.89,0.08,6
1762640580145.608,GPS,33.008,-84.189,317.89,0.14,6
1762640580248.179,GPS,33.008,-84.189,317.89,0.14,6
1.76264E+12,GPS,33.008,-84.189,317.89,0.07,6
1762640581256.898,GPS,33.008,-84.189,317.89,0.07,6
1762640582146.072,GPS,33.008,-84.189,317.89,0.15,6
1762640582249.158,GPS,33.008,-84.189,317.89,0.15,6
1762640583139.982,GPS,33.008,-84.189,317.89,0.12,6
1762640583270.325,GPS,33.008,-84.189,317.89,0.12,8
1762640584136.358,GPS,33.008,-84.189,317.89,0.12,8
1762640584253.006,GPS,33.008,-84.189,317.89,0.12,7
1762640585150.945,GPS,33.008,-84.189,317.89,0.27,7
1762640585256.483,GPS,33.008,-84.189,317.89,0.27,7
1762640586138.783,GPS,33.008,-84.189,317.89,0.18,7
1762640586255.868,GPS,33.008,-84.189,317.89,0.18,8
1762640587140.913,GPS,33.008,-84.189,317.89,0.51,8
1762640587253.902,GPS,33.008,-84.189,317.89,0.51,8
1762640588146.938,GPS,33.008,-84.189,317.89,0.26,8
1762640588251.551,GPS,33.008,-84.189,317.89,0.26,8
1762640589137.046,GPS,33.008,-84.189,317.89,0.2,8
1762640589253.293,GPS,33.008,-84.189,317.89,0.2,8
1.76264E+12,GPS,33.008,-84.189,317.89,0.1,8
1.76264E+12,GPS,33.008,-84.189,317.89,0.1,8
1762640591138.324,GPS,33.008,-84.189,317.89,0.1,8
1762640591251.744,GPS,33.008,-84.189,317.89,0.1,8
1762640592145.348,GPS,33.008,-84.189,317.89,0.02,8
1762640592254.446,GPS,33.008,-84.189,317.89,0.02,8
1762640593148.918,GPS,33.008,-84.189,317.89,0.04,8
1762640593254.364,GPS,33.008,-84.189,317.89,0.04,8
1762640594143.335,GPS,33.008,-84.189,317.89,0.13,8
1762640594263.293,GPS,33.008,-84.189,317.89,0.13,8
1762640595137.595,GPS,33.008,-84.189,317.89,0.31,8
1.76264E+12,GPS,33.008,-84.189,317.89,0.31,8
1762640596138.069,GPS,33.008,-84.189,317.89,0.08,8
1762640596253.393,GPS,33.008,-84.189,317.89,0.08,8
1762640597150.564,GPS,33.008,-84.189,317.89,0.21,8
1762640597246.472,GPS,33.008,-84.189,317.89,0.21,8
1762640598143.365,GPS,33.008,-84.189,317.89,0.45,8
1762640598252.062,GPS,33.008,-84.189,317.89,0.45,8
1762640599172.099,GPS,33.008,-84.189,317.89,0.22,8
1762640599271.734,GPS,33.008,-84.189,317.89,0.22,8
1762640600156.462,GPS,33.008,-84.189,317.89,0.19,8
1762640600253.987,GPS,33.008,-84.189,317.89,0.19,8
1762640601138.504,GPS,33.008,-84.189,317.89,0.09,8
1762640601261.432,GPS,33.008,-84.189,317.89,0.09,8
1762640602151.003,GPS,33.008,-84.189,317.89,0.13,8
1762640602253.966,GPS,33.008,-84.189,317.89,0.13,9
1762640603150.094,GPS,33.008,-84.189,317.89,0.02,9
1762640603254.736,GPS,33.008,-84.189,317.89,0.02,9
1762640604140.614,GPS,33.008,-84.189,317.89,0.35,9
1762640604258.896,GPS,33.008,-84.189,317.89,0.35,9
1762640605152.624,GPS,33.008,-84.189,317.89,0.42,9
1762640605259.149,GPS,33.008,-84.189,317.89,0.42,10
1762640606143.044,GPS,33.008,-84.189,317.89,0.31,10
1762640606254.868,GPS,33.008,-84.189,317.89,0.31,9
1762640607139.555,GPS,33.008,-84.189,317.89,0.15,9
1762640607260.976,GPS,33.008,-84.189,317.89,0.15,8
1762640608131.281,GPS,33.008,-84.189,317.89,0.2,8
1762640608252.129,GPS,33.008,-84.189,317.89,0.2,8
1762640609145.024,GPS,33.008,-84.189,317.89,0.16,8
1762640609250.083,GPS,33.008,-84.189,317.89,0.16,7
1762640610135.513,GPS,33.008,-84.189,317.89,0.15,7
1762640610253.369,GPS,33.008,-84.189,317.89,0.15,6
1762640611149.844,GPS,33.008,-84.189,317.89,0.42,6
1762640611250.806,GPS,33.008,-84.189,317.89,0.42,6
1762640612136.236,GPS,33.008,-84.189,317.89,0.33,6
1762640612255.525,GPS,33.008,-84.189,317.89,0.33,6
